State,2023 lawyers,2022 populationLawyers per 1000 pop 
New York,188341,19677151,9.6 
Massachusetts,42635,6981974,6.1 
Connecticut,21036,3626205,5.8 
Illinois,62201,12582032,4.9 
Minnesota,26065,5717184,4.6 
California,170959,39029342,4.4 
New Jersey,40078,9261699,4.3 
Louisiana,19566,4590241,4.3 
Maryland,26020,6164660,4.2 
Missouri,24613,6177957,4.0 
Colorado,22802,5839926,3.9 
Florida,84594,22244823,3.8 
Rhode Island,4081,1093734,3.7 
Pennsylvania,48174,12972008,3.7 
Michigan,34577,10034113,3.4 
Vermont,2198,647064,3.4 
Washington,26300,7785786,3.4 
Oklahoma,13415,4019800,3.3 
Texas,96827,30029572,3.2 
Ohio,37717,11756058,3.2 
Georgia,33890,10912876,3.1 
Alaska,2268,733583,3.1 
Kentucky,13600,4512310,3.0 
Delaware,3058,1018396,3.0 
Nebraska,5689,1967923,2.9 
Maine,4002,1385340,2.9 
Wyoming,1673,581381,2.9 
Oregon,12196,4240137,2.9 
Hawaii,4122,1440196,2.9 
Montana,3201,1122867,2.9 
Tennessee,19583,7051339,2.8 
Virginia,23855,8683619,2.7 
Kansas,7858,2937150,2.7 
West Virginia,4673,1775156,2.6 
Wisconsin,15192,5892539,2.6 
New Mexico,5411,2113344,2.6 
Utah,8581,3380800,2.5 
New Hampshire,3451,1395231,2.5 
North Carolina,26274,10698973,2.5 
Alabama,12195,5074296,2.4 
Nevada,7498,3177772,2.4 
Mississippi,6736,2940057,2.3 
Iowa,7258,3200517,2.3 
Indiana,15485,6833037,2.3 
Arkansas,6808,3045637,2.2 
South Dakota,2027,909824,2.2 
North Dakota,1694,779261,2.2 
Idaho,4098,1939033,2.1 
Arizona,15506,7359197,2.1 
South Carolina,11090,5282634,2.1 
